Group,Score_Activation
Control,0.10153997476018523
Control,0.16391168589576033
Control,0.04421927358793176
Control,0.04599959794494221
Control,0.27470506792483124
Control,0.0866354551070776
Control,0.09215137658177677
Control,0.181531288020454
Control,0.17243884611820828
Control,-0.04488480523012686
Control,0.11255304550247447
Control,0.02888582781405752
Control,0.040622582071468044
Control,0.12852304130626493
Control,0.1624612242083087
Control,0.12195146097121562
Control,0.19102338245481154
Control,0.1813442943619778
Control,0.10788241417511649
Control,0.07927380736456269
Control,-0.07391073555584868
Control,0.009718976225475545
Control,0.12630049361034382
Control,0.23631576072412191
Control,0.12978324988481063
Control,0.10721697429882376
Control,0.16446391528798318
Control,0.16987336213506316
Control,0.10193551390731881
Control,0.1740366895594857
Control,0.189518809584338
Control,0.10390225700710132
Control,0.18312696429798037
Control,0.037338820588229904
Control,0.16958104500935361
Control,0.1243377676775623
Control,0.24717908692333343
Control,0.2201798628006492
Control,0.20945104920080007
Model,0.12770083636344476
Model,0.13154219384974858
Model,0.062213085433976995
Model,0.12350360991032494
Model,0.1555701861014733
Model,0.039513019149252926
Model,0.18553403149480405
Model,0.06566189417206456
Model,0.1318316859678015
Model,0.13281986678856006
Model,0.22068751310159263
Model,0.13520423491530065
Model,0.24224536022879475
Model,0.10931657409189538
Model,0.22079281743154877
Model,0.16364478692827683
Model,0.12711768412138177
Model,0.1631325266698797
Model,0.13887330700322537
Model,0.09269995713313686
Model,0.10102914567775151
Model,0.1981832357819131
Model,0.26446095969498884
Model,0.17602645938877545
Model,0.13614172799930127
Model,0.12701211632161902
Model,0.15670126098454198
Model,0.14813186439250492
Model,0.11967260196987733
Model,0.16797302478930623
Model,0.12196711998187845
Model,0.02051504931455206
Model,0.08139966788765049
Model,0.10185628484855658
Model,0.20572454155886852
Model,0.21169466703897605
Model,0.09297566994642603
Model,0.08794984643408818
Model,0.20103242431861768
Model,0.08127417034130033
Model,0.1509646088250372
Model,0.09724256067371687
Model,0.09440471502716594
Model,0.17012835093831008
Model,0.0811940731943783
Model,0.10281997586838246
Model,0.0017028661608828877
Model,0.09604646104368211
Model,0.22587200564019788
Model,0.19104656474114529
Model,0.1589440892771335
Model,0.1600399465199431
Model,0.1818865436641136
Model,0.20932593978235423
Model,0.27408357022730934
Model,0.38262529941971357
Model,-0.04138370501157831
Control,0.0
Control,0.2893820143862313
Control,0.2669667974363601
Control,0.2649289825422442
Control,0.1803071474949253
Control,0.13128234736762587
Control,0.2060802860004846
Control,0.06817219010164904
Control,0.11531592691223758
Control,0.10959509463613248
